# r   Lambda(r)
0.000000000000000000e+00 9.440273707010488069e-01
1.251564455569461887e-01 9.818251068835768258e-01
2.503128911138923773e-01 1.020337579545159246e+00
3.754693366708385938e-01 1.057120986081734992e+00
5.006257822277847547e-01 1.092731641874833182e+00
6.257822277847309156e-01 1.123685895510945887e+00
7.509386733416771875e-01 1.151879334053673487e+00
8.760951188986233484e-01 1.175634370999117939e+00
1.001251564455569509e+00 1.195604432296722530e+00
1.126408010012515781e+00 1.214743340278940043e+00
1.251564455569461831e+00 1.230128103902013104e+00
1.376720901126408103e+00 1.242256508974642015e+00
1.501877346683354375e+00 1.251298558573943120e+00
1.627033792240300425e+00 1.258028225604961303e+00
1.752190237797246697e+00 1.262203896816111559e+00
1.877346683354192747e+00 1.263587361146871313e+00
2.002503128911139019e+00 1.263313809614239558e+00
2.127659574468085069e+00 1.260396238205204966e+00
2.252816020025031563e+00 1.255935177070502284e+00
2.377972465581977612e+00 1.248583791629156003e+00
2.503128911138923662e+00 1.239663427251848971e+00
2.628285356695870156e+00 1.228385548940420957e+00
2.753441802252816206e+00 1.211119873041114570e+00
2.878598247809762256e+00 1.201801569481607324e+00
3.003754693366708750e+00 1.187616414327391290e+00
3.128911138923654800e+00 1.169563547308925200e+00
3.254067584480600850e+00 1.152722834229632065e+00
3.379224030037546900e+00 1.132541283528898601e+00
3.504380475594493394e+00 1.109552079749319242e+00
3.629536921151439444e+00 1.086135989821791714e+00
3.754693366708385494e+00 1.059429420426240442e+00
3.879849812265331988e+00 1.035684665699542428e+00
4.005006257822278037e+00 1.007175035741961766e+00
4.130162703379224531e+00 9.745071121975950046e-01
4.255319148936170137e+00 9.458295501526660098e-01
4.380475594493116631e+00 9.176000154231417349e-01
4.505632040050063125e+00 8.909701834794288011e-01
4.630788485607008731e+00 8.609514036433646433e-01
4.755944931163955225e+00 8.314856400989708574e-01
4.881101376720901719e+00 7.969917345259216468e-01
5.006257822277847325e+00 7.519664781540205123e-01
5.131414267834793819e+00 7.170574791029026285e-01
5.256570713391740313e+00 6.770558087821153537e-01
5.381727158948685918e+00 6.442890099520284242e-01
5.506883604505632412e+00 6.053367243225850070e-01
5.632040050062578906e+00 5.637486772774961130e-01
5.757196495619524512e+00 5.289929202239526118e-01
5.882352941176471006e+00 4.891104362946813167e-01
6.007509386733417500e+00 4.545113006876601025e-01
6.132665832290363106e+00 4.057547421799223564e-01
6.257822277847309600e+00 3.689453207374573385e-01
6.382978723404255206e+00 3.251515513741313756e-01
6.508135168961201700e+00 2.761390471897534615e-01
6.633291614518148194e+00 2.304662176440142873e-01
6.758448060075093800e+00 1.841341119350479172e-01
6.883604505632040294e+00 1.378117791068048104e-01
7.008760951188986787e+00 8.349285417003671217e-02
7.133917396745932393e+00 3.073367402784580801e-02
7.259073842302878887e+00 -7.986543803694397953e-03
7.384230287859825381e+00 -5.378796314719143379e-02
7.509386733416770987e+00 -1.000450583667279042e-01
7.634543178973717481e+00 -1.484688945269264648e-01
7.759699624530663975e+00 -2.042278279373025140e-01
7.884856070087609581e+00 -2.422683637451920613e-01
8.010012515644556075e+00 -2.878503617468606834e-01
8.135168961201502569e+00 -3.425598451383185528e-01
8.260325406758449063e+00 -3.994937249700821202e-01
8.385481852315393780e+00 -4.489329751532555313e-01
8.510638297872340274e+00 -4.946220127738241157e-01
8.635794743429286768e+00 -5.421024132737310985e-01
8.760951188986233262e+00 -5.962721419626709762e-01
8.886107634543179756e+00 -6.551375110336961072e-01
9.011264080100126250e+00 -7.023425273552941217e-01
9.136420525657070968e+00 -7.542302418927193663e-01
9.261576971214017462e+00 -8.025214947294107004e-01
9.386733416770963956e+00 -8.580450991091708168e-01
9.511889862327910450e+00 -9.095878103608030507e-01
9.637046307884856944e+00 -9.518394589430442254e-01
9.762202753441803438e+00 -9.956022854004688005e-01
9.887359198998748155e+00 -1.055985484742075320e+00
1.001251564455569465e+01 -1.086081393701406883e+00
1.013767209011264114e+01 -1.134698204241733066e+00
1.026282853566958764e+01 -1.176157190908589278e+00
1.038798498122653413e+01 -1.233652725445431031e+00
1.051314142678348063e+01 -1.289810726113187700e+00
1.063829787234042534e+01 -1.348357449869448832e+00
1.076345431789737184e+01 -1.392581332100734759e+00
