# r   Lambda(r)
0.000000000000000000e+00 9.442272104844935399e-01
1.251564455569461887e-01 9.437211328948863498e-01
2.503128911138923773e-01 9.438889037163206153e-01
3.754693366708385938e-01 9.440733940649378431e-01
5.006257822277847547e-01 9.439369693326772337e-01
6.257822277847309156e-01 9.436520322698769281e-01
7.509386733416771875e-01 9.438614644620947347e-01
8.760951188986233484e-01 9.443354671733807937e-01
1.001251564455569509e+00 9.428147930517223330e-01
1.126408010012515781e+00 9.432198098060556868e-01
1.251564455569461831e+00 9.442585431707897214e-01
1.376720901126408103e+00 9.443060110338573621e-01
1.501877346683354375e+00 9.438962160564657866e-01
1.627033792240300425e+00 9.440714299917706276e-01
1.752190237797246697e+00 9.432501882709646290e-01
1.877346683354192747e+00 9.441284452391365267e-01
2.002503128911139019e+00 9.440859130322325488e-01
2.127659574468085069e+00 9.438716092614245490e-01
2.252816020025031563e+00 9.439554671701936295e-01
2.377972465581977612e+00 9.442720629240229924e-01
2.503128911138923662e+00 9.441689908648521756e-01
2.628285356695870156e+00 9.442297870984291963e-01
2.753441802252816206e+00 9.437209634742746989e-01
2.878598247809762256e+00 9.438608307876262815e-01
3.003754693366708750e+00 9.440206383644123012e-01
3.128911138923654800e+00 9.441409400452467349e-01
3.254067584480600850e+00 9.433427823077465968e-01
3.379224030037546900e+00 9.434213738895150803e-01
3.504380475594493394e+00 9.443426783352563136e-01
3.629536921151439444e+00 9.442379447184422459e-01
3.754693366708385494e+00 9.443390414212404771e-01
3.879849812265331988e+00 9.438753044691542415e-01
4.005006257822278037e+00 9.433190145475757182e-01
4.130162703379224531e+00 9.435680347593051742e-01
4.255319148936170137e+00 9.436371748536899196e-01
4.380475594493116631e+00 9.431409952287813647e-01
4.505632040050063125e+00 9.442879827952399552e-01
4.630788485607008731e+00 9.435414558704773302e-01
4.755944931163955225e+00 9.428945908792164543e-01
4.881101376720901719e+00 9.429934882071860924e-01
5.006257822277847325e+00 9.436813952505315184e-01
5.131414267834793819e+00 9.441586621559103776e-01
5.256570713391740313e+00 9.430138887464978303e-01
5.381727158948685918e+00 9.434112673303011176e-01
5.506883604505632412e+00 9.441433295299976880e-01
5.632040050062578906e+00 9.441383954839269732e-01
5.757196495619524512e+00 9.434527063789052148e-01
5.882352941176471006e+00 9.439004022847566899e-01
6.007509386733417500e+00 9.442412569236056097e-01
6.132665832290363106e+00 9.441569196966296262e-01
6.257822277847309600e+00 9.426933800623744641e-01
6.382978723404255206e+00 9.443524597286664379e-01
6.508135168961201700e+00 9.440819241510811644e-01
6.633291614518148194e+00 9.438314265268549219e-01
6.758448060075093800e+00 9.441557680019874166e-01
6.883604505632040294e+00 9.434508505382894761e-01
7.008760951188986787e+00 9.433220460524397444e-01
7.133917396745932393e+00 9.437533529916606323e-01
7.259073842302878887e+00 9.429259864549004444e-01
7.384230287859825381e+00 9.438664337256480463e-01
7.509386733416770987e+00 9.438044455226669571e-01
7.634543178973717481e+00 9.442901373045885505e-01
7.759699624530663975e+00 9.441412215338188529e-01
