# r   Lambda(r)
0.000000000000000000e+00 9.438155980053490879e-01
1.251564455569461887e-01 9.570025214854072093e-01
2.503128911138923773e-01 9.610552833767316283e-01
3.754693366708385938e-01 9.637451003142157857e-01
5.006257822277847547e-01 9.598925164084010087e-01
6.257822277847309156e-01 9.588837263856933024e-01
7.509386733416771875e-01 9.568091009402063252e-01
8.760951188986233484e-01 9.550655947784898459e-01
1.001251564455569509e+00 9.579263478468834636e-01
1.126408010012515781e+00 9.536385200030091935e-01
1.251564455569461831e+00 9.493982118131826242e-01
1.376720901126408103e+00 9.464464557834871838e-01
1.501877346683354375e+00 9.427793126648857935e-01
1.627033792240300425e+00 9.299543842381929881e-01
1.752190237797246697e+00 9.319944161783607628e-01
1.877346683354192747e+00 9.252317016047673093e-01
2.002503128911139019e+00 9.205976352764078108e-01
2.127659574468085069e+00 9.092639287115823477e-01
2.252816020025031563e+00 9.023247513890049198e-01
2.377972465581977612e+00 8.976151137324485108e-01
2.503128911138923662e+00 8.953918779255476412e-01
2.628285356695870156e+00 8.727225529260441705e-01
2.753441802252816206e+00 8.738267834228992115e-01
2.878598247809762256e+00 8.626926652400770390e-01
3.003754693366708750e+00 8.632047679183797451e-01
3.128911138923654800e+00 8.557215677119099917e-01
3.254067584480600850e+00 8.456767664156591424e-01
3.379224030037546900e+00 8.434807659576105676e-01
3.504380475594493394e+00 8.387170254580456064e-01
3.629536921151439444e+00 8.296357399794023202e-01
3.754693366708385494e+00 8.207394854720703181e-01
3.879849812265331988e+00 8.072985086269385269e-01
4.005006257822278037e+00 8.017695708033070190e-01
4.130162703379224531e+00 7.933169554756549502e-01
4.255319148936170137e+00 7.789839395863282778e-01
4.380475594493116631e+00 7.670885591569698292e-01
4.505632040050063125e+00 7.481288549895094286e-01
4.630788485607008731e+00 7.406488538299483837e-01
4.755944931163955225e+00 7.267465082979023272e-01
4.881101376720901719e+00 7.162371184444866756e-01
5.006257822277847325e+00 7.039404589777541466e-01
5.131414267834793819e+00 6.861118103651565603e-01
5.256570713391740313e+00 6.729895867205303306e-01
5.381727158948685918e+00 6.527960821345196729e-01
5.506883604505632412e+00 6.503652583758929850e-01
5.632040050062578906e+00 6.377979614864635050e-01
5.757196495619524512e+00 6.165203623933973587e-01
5.882352941176471006e+00 5.981668215117220688e-01
6.007509386733417500e+00 5.934382873893480070e-01
6.132665832290363106e+00 5.822259161623896118e-01
6.257822277847309600e+00 5.693764144808214356e-01
6.382978723404255206e+00 5.607878470828074891e-01
6.508135168961201700e+00 5.489385919419264015e-01
6.633291614518148194e+00 5.382632022239237646e-01
6.758448060075093800e+00 5.129903026943245514e-01
6.883604505632040294e+00 5.015226282931866120e-01
7.008760951188986787e+00 4.869551400823348142e-01
7.133917396745932393e+00 4.731492729985564694e-01
7.259073842302878887e+00 4.647355544902073143e-01
7.384230287859825381e+00 4.530544735750168805e-01
7.509386733416770987e+00 4.384497466962380963e-01
7.634543178973717481e+00 4.181348378219317818e-01
7.759699624530663975e+00 3.983853713059061774e-01
7.884856070087609581e+00 3.924352766910007007e-01
8.010012515644556075e+00 3.773429196121187434e-01
8.135168961201502569e+00 3.688793383586455588e-01
8.260325406758449063e+00 3.584100993644973032e-01
8.385481852315393780e+00 3.422107651834356279e-01
8.510638297872340274e+00 3.192980454051236872e-01
8.635794743429286768e+00 3.043010968686518103e-01
8.760951188986233262e+00 2.845084778414620486e-01
8.886107634543179756e+00 2.651707369019684069e-01
9.011264080100126250e+00 2.541561631956517631e-01
9.136420525657070968e+00 2.294097936071440025e-01
9.261576971214017462e+00 2.095390046273055695e-01
9.386733416770963956e+00 1.922421063946258279e-01
9.511889862327910450e+00 1.755671723318345534e-01
9.637046307884856944e+00 1.592849230229632651e-01
9.762202753441803438e+00 1.389704871442438983e-01
9.887359198998748155e+00 1.160350535411443784e-01
1.001251564455569465e+01 9.858625968707609988e-02
1.013767209011264114e+01 8.530470076893671705e-02
1.026282853566958764e+01 6.304494166980102732e-02
1.038798498122653413e+01 5.503782117219991471e-02
1.051314142678348063e+01 3.558276207995896695e-02
1.063829787234042534e+01 1.020582361070139152e-02
1.076345431789737184e+01 -1.542166593067237010e-02
1.088861076345431833e+01 -2.355965672132468922e-02
1.101376720901126482e+01 -4.747719198929287870e-02
1.113892365456821132e+01 -7.326534394947831208e-02
1.126408010012515781e+01 -8.588437617018467030e-02
1.138923654568210253e+01 -9.803906327629752226e-02
1.151439299123904902e+01 -1.129411184751944741e-01
1.163954943679599552e+01 -1.365640311880845781e-01
1.176470588235294201e+01 -1.608857633294324685e-01
1.188986232790988851e+01 -1.805223552477946691e-01
1.201501877346683500e+01 -1.877298788047478406e-01
1.214017521902377972e+01 -2.099370404998435469e-01
1.226533166458072621e+01 -2.201105018762473942e-01
1.239048811013767271e+01 -2.315546892546378188e-01
1.251564455569461920e+01 -2.575788741639157831e-01
1.264080100125156569e+01 -2.680953036023861480e-01
1.276595744680851041e+01 -3.018305506799542903e-01
1.289111389236545691e+01 -3.047940344168416638e-01
1.301627033792240340e+01 -3.365042178732217115e-01
1.314142678347934989e+01 -3.543617127778825870e-01
1.326658322903629639e+01 -3.805401734666608582e-01
1.339173967459324288e+01 -3.777560069548080990e-01
1.351689612015018760e+01 -3.821556731913225979e-01
1.364205256570713409e+01 -3.815545330714735228e-01
1.376720901126408059e+01 -3.982754559025135088e-01
1.389236545682102708e+01 -4.198723233614515826e-01
1.401752190237797357e+01 -4.339652612002558585e-01
1.414267834793492007e+01 -4.597878974734717072e-01
1.426783479349186479e+01 -4.682300652461823809e-01
1.439299123904881128e+01 -4.892885541606850075e-01
1.451814768460575777e+01 -5.130122822719483944e-01
1.464330413016270427e+01 -5.232885644900118205e-01
1.476846057571965076e+01 -5.362021258973149740e-01
1.489361702127659726e+01 -5.428078995525456030e-01
1.501877346683354197e+01 -5.685547627889487865e-01
1.514392991239048847e+01 -5.832174934541095590e-01
1.526908635794743496e+01 -5.910349299249151311e-01
1.539424280350438146e+01 -6.139812508456552465e-01
1.551939924906132795e+01 -6.257420215869440305e-01
1.564455569461827444e+01 -6.283727045740122863e-01
1.576971214017521916e+01 -6.339160995193618975e-01
1.589486858573216566e+01 -6.602421135331597579e-01
1.602002503128911215e+01 -6.598480037709760770e-01
1.614518147684605864e+01 -6.802723595668723755e-01
1.627033792240300514e+01 -6.989617410480111204e-01
1.639549436795995163e+01 -7.024053453056287033e-01
1.652065081351689813e+01 -7.032462031756582244e-01
1.664580725907384462e+01 -7.185816887826995680e-01
1.677096370463078756e+01 -7.287879583789347304e-01
1.689612015018773405e+01 -7.305575424351912206e-01
1.702127659574468055e+01 -7.466833157349359595e-01
1.714643304130162704e+01 -7.545289907776662197e-01
1.727158948685857354e+01 -7.771618353058364903e-01
1.739674593241552003e+01 -7.975235485446737771e-01
1.752190237797246652e+01 -8.200071720433219635e-01
1.764705882352941302e+01 -8.382279138985331279e-01
1.777221526908635951e+01 -8.520563856159212301e-01
1.789737171464330601e+01 -8.712658935278613237e-01
1.802252816020025250e+01 -8.953381065127076210e-01
1.814768460575719899e+01 -9.194305972053267162e-01
1.827284105131414194e+01 -9.583878291686530604e-01
1.839799749687108843e+01 -9.957882148214720619e-01
1.852315394242803492e+01 -1.060330089576764001e+00
1.864831038798498142e+01 -1.106977737879052182e+00
1.877346683354192791e+01 -1.152303717556745655e+00
1.889862327909887441e+01 -1.169786399124815635e+00
1.902377972465582090e+01 -1.162260662860406635e+00
1.914893617021276739e+01 -1.162553711006701018e+00
1.927409261576971389e+01 -1.130615973617413506e+00
1.939924906132666038e+01 -1.118154676724713026e+00
1.952440550688360688e+01 -1.107918462679837068e+00
1.964956195244055337e+01 -1.063737789811307843e+00
1.977471839799749631e+01 -1.040821588331004577e+00
1.989987484355444280e+01 -1.014732129498696400e+00
2.002503128911138930e+01 -1.001973902454410537e+00
2.015018773466833579e+01 -9.947434835402489961e-01
2.027534418022528229e+01 -9.975839678487077311e-01
2.040050062578222878e+01 -9.948022945805571338e-01
2.052565707133917527e+01 -9.904920709230803366e-01
2.065081351689612177e+01 -9.906719977907323393e-01
2.077596996245306826e+01 -9.862667376280940257e-01
2.090112640801001476e+01 -9.902966112395964471e-01
2.102628285356696125e+01 -1.005744828335406904e+00
2.115143929912390419e+01 -1.014689349462025492e+00
2.127659574468085069e+01 -1.018281627078845952e+00
2.140175219023779718e+01 -1.026371370131420768e+00
2.152690863579474367e+01 -1.045947037799197732e+00
2.165206508135169017e+01 -1.040033840004108701e+00
2.177722152690863666e+01 -1.038824938932530140e+00
2.190237797246558316e+01 -1.036465757455523384e+00
2.202753441802252965e+01 -1.045024086700864219e+00
2.215269086357947614e+01 -1.065276380994393923e+00
2.227784730913642264e+01 -1.084022317419626624e+00
2.240300375469336913e+01 -1.067149226286846275e+00
2.252816020025031563e+01 -1.062609263374440838e+00
2.265331664580725857e+01 -1.066259792693384778e+00
2.277847309136420506e+01 -1.062926073057226084e+00
2.290362953692115155e+01 -1.072615379753753873e+00
2.302878598247809805e+01 -1.076175111606358703e+00
2.315394242803504454e+01 -1.088656509471235490e+00
2.327909887359199104e+01 -1.100438553669966790e+00
2.340425531914893753e+01 -1.112443461479106555e+00
2.352941176470588402e+01 -1.119946136990206398e+00
2.365456821026283052e+01 -1.120528567599519576e+00
2.377972465581977701e+01 -1.092429855651834369e+00
2.390488110137672351e+01 -1.087597324353134720e+00
2.403003754693367000e+01 -1.085542482564181066e+00
2.415519399249061294e+01 -1.093132945901408748e+00
2.428035043804755944e+01 -1.095754254990785048e+00
2.440550688360450593e+01 -1.090973678617691345e+00
2.453066332916145242e+01 -1.092133881408197116e+00
2.465581977471839892e+01 -1.104583783439844424e+00
2.478097622027534541e+01 -1.117594951465449959e+00
2.490613266583229191e+01 -1.128989880672408130e+00
2.503128911138923840e+01 -1.157176590497831281e+00
2.515644555694618489e+01 -1.155749145979846793e+00
2.528160200250313139e+01 -1.172013081367460741e+00
2.540675844806007788e+01 -1.187433224625941808e+00
2.553191489361702082e+01 -1.200167889622161255e+00
2.565707133917396732e+01 -1.207058355999074406e+00
2.578222778473091381e+01 -1.221920741187401349e+00
2.590738423028786030e+01 -1.217004514004353277e+00
2.603254067584480680e+01 -1.212204839198376405e+00
2.615769712140175329e+01 -1.206027608191554412e+00
2.628285356695869979e+01 -1.217324222195569128e+00
2.640801001251564628e+01 -1.230143270759322505e+00
2.653316645807259277e+01 -1.230096682853792478e+00
2.665832290362953927e+01 -1.253228037859569710e+00
2.678347934918648576e+01 -1.267980257181883452e+00
2.690863579474343226e+01 -1.278607655358308115e+00
2.703379224030037520e+01 -1.281150404134149046e+00
2.715894868585732169e+01 -1.288729286530855722e+00
2.728410513141426819e+01 -1.300634873705431849e+00
2.740926157697121468e+01 -1.303604075736054524e+00
2.753441802252816117e+01 -1.330940456799684313e+00
2.765957446808510767e+01 -1.355390177735329438e+00
2.778473091364205416e+01 -1.355622586853349798e+00
2.790988735919900066e+01 -1.361039125857039123e+00
2.803504380475594715e+01 -1.378709473543957786e+00
2.816020025031289364e+01 -1.389514237252948314e+00
2.828535669586984014e+01 -1.407677068759944028e+00
2.841051314142678308e+01 -1.409784885919436181e+00
2.853566958698372957e+01 -1.407890166604972793e+00
2.866082603254067607e+01 -1.399504201528022129e+00
2.878598247809762256e+01 -1.389781812814653295e+00
2.891113892365456906e+01 -1.396508027281781361e+00
2.903629536921151555e+01 -1.386256110620290416e+00
2.916145181476846204e+01 -1.378097790210018436e+00
2.928660826032540854e+01 -1.372817265346778060e+00
2.941176470588235503e+01 -1.379880444766862002e+00
2.953692115143930152e+01 -1.386267913054335610e+00
