# r   Lambda(r)
0.000000000000000000e+00 9.442068120010944643e-01
1.251564455569461887e-01 9.485129405959182858e-01
2.503128911138923773e-01 9.551260703997670465e-01
3.754693366708385938e-01 9.610955731447747841e-01
5.006257822277847547e-01 9.668117161413318783e-01
6.257822277847309156e-01 9.718352926959615834e-01
7.509386733416771875e-01 9.783906910298419968e-01
8.760951188986233484e-01 9.852387810360472287e-01
1.001251564455569509e+00 9.908483783083029683e-01
1.126408010012515781e+00 9.968380327315842226e-01
1.251564455569461831e+00 1.004080499424204742e+00
1.376720901126408103e+00 1.010152048985638151e+00
1.501877346683354375e+00 1.016357926020866831e+00
1.627033792240300425e+00 1.022216897602565178e+00
1.752190237797246697e+00 1.028475291643798251e+00
1.877346683354192747e+00 1.034302214770027595e+00
2.002503128911139019e+00 1.038977880295958167e+00
2.127659574468085069e+00 1.045249937260930295e+00
2.252816020025031563e+00 1.050634179050954131e+00
2.377972465581977612e+00 1.057659369429564844e+00
2.503128911138923662e+00 1.062507856088579450e+00
2.628285356695870156e+00 1.068118173750259192e+00
2.753441802252816206e+00 1.073330226097266582e+00
2.878598247809762256e+00 1.078222972119270873e+00
3.003754693366708750e+00 1.082629755002340266e+00
3.128911138923654800e+00 1.088232352088672528e+00
3.254067584480600850e+00 1.092603040791085167e+00
3.379224030037546900e+00 1.096695216479818935e+00
3.504380475594493394e+00 1.100619484381320401e+00
3.629536921151439444e+00 1.105255977192290739e+00
3.754693366708385494e+00 1.107748477960422750e+00
3.879849812265331988e+00 1.112530561978353427e+00
4.005006257822278037e+00 1.116137689468281957e+00
4.130162703379224531e+00 1.118810820336049172e+00
4.255319148936170137e+00 1.121890805985934492e+00
4.380475594493116631e+00 1.125451883197590597e+00
4.505632040050063125e+00 1.128113709254637831e+00
4.630788485607008731e+00 1.130023796707382067e+00
4.755944931163955225e+00 1.132837504556182484e+00
4.881101376720901719e+00 1.134597427607667575e+00
5.006257822277847325e+00 1.137132194412381558e+00
5.131414267834793819e+00 1.139320618046129940e+00
5.256570713391740313e+00 1.140901922833546855e+00
5.381727158948685918e+00 1.141817873166750097e+00
5.506883604505632412e+00 1.143730202960396403e+00
5.632040050062578906e+00 1.144225698794206991e+00
5.757196495619524512e+00 1.145941657144478487e+00
5.882352941176471006e+00 1.146787172037122771e+00
6.007509386733417500e+00 1.147171517208131597e+00
6.132665832290363106e+00 1.147856951480901166e+00
6.257822277847309600e+00 1.147828265866733810e+00
6.382978723404255206e+00 1.148382187865620629e+00
6.508135168961201700e+00 1.147976008798923697e+00
6.633291614518148194e+00 1.147872014911355709e+00
6.758448060075093800e+00 1.147870382747963491e+00
6.883604505632040294e+00 1.146946995532628799e+00
7.008760951188986787e+00 1.146508996462598073e+00
7.133917396745932393e+00 1.145876572340861488e+00
7.259073842302878887e+00 1.144985269231172387e+00
7.384230287859825381e+00 1.143859119990829676e+00
7.509386733416770987e+00 1.142517296780316993e+00
7.634543178973717481e+00 1.140958381644301189e+00
7.759699624530663975e+00 1.139262063283249304e+00
7.884856070087609581e+00 1.137744356297069270e+00
8.010012515644556075e+00 1.135803060826802602e+00
8.135168961201502569e+00 1.133743152453710490e+00
8.260325406758449063e+00 1.131637631568611413e+00
8.385481852315393780e+00 1.129305657506546767e+00
8.510638297872340274e+00 1.126723559753453729e+00
8.635794743429286768e+00 1.124189960796226018e+00
8.760951188986233262e+00 1.121227891033278246e+00
8.886107634543179756e+00 1.118263748436525873e+00
9.011264080100126250e+00 1.114966917503717347e+00
9.136420525657070968e+00 1.112093500933259094e+00
9.261576971214017462e+00 1.108580821168125397e+00
9.386733416770963956e+00 1.105365949958544203e+00
9.511889862327910450e+00 1.101575756709749720e+00
9.637046307884856944e+00 1.097826007682183747e+00
9.762202753441803438e+00 1.093836005321219718e+00
9.887359198998748155e+00 1.089755612861291301e+00
1.001251564455569465e+01 1.085523158583821868e+00
1.013767209011264114e+01 1.081319381001319302e+00
1.026282853566958764e+01 1.076749018821003601e+00
1.038798498122653413e+01 1.072168834740890198e+00
1.051314142678348063e+01 1.067283899744680964e+00
1.063829787234042534e+01 1.062322713609725300e+00
1.076345431789737184e+01 1.057380140719423656e+00
1.088861076345431833e+01 1.052031052276953815e+00
1.101376720901126482e+01 1.046588535967197364e+00
1.113892365456821132e+01 1.041281568963989823e+00
1.126408010012515781e+01 1.035527675217730481e+00
1.138923654568210253e+01 1.029577701303223014e+00
1.151439299123904902e+01 1.023975308545619356e+00
1.163954943679599552e+01 1.017842337681949427e+00
1.176470588235294201e+01 1.011619633268323604e+00
1.188986232790988851e+01 1.005269560056795131e+00
1.201501877346683500e+01 9.987268741368733327e-01
1.214017521902377972e+01 9.920502428385853388e-01
1.226533166458072621e+01 9.853254293467296199e-01
1.239048811013767271e+01 9.781709336261001919e-01
1.251564455569461920e+01 9.710947185210982990e-01
1.264080100125156569e+01 9.637092501512727338e-01
1.276595744680851041e+01 9.564017300690681456e-01
1.289111389236545691e+01 9.486307598841881017e-01
1.301627033792240340e+01 9.411587130281650060e-01
1.314142678347934989e+01 9.332725833061816800e-01
1.326658322903629639e+01 9.249684678572586138e-01
1.339173967459324288e+01 9.169575367148620204e-01
1.351689612015018760e+01 9.086346289039739510e-01
1.364205256570713409e+01 9.000240623074595714e-01
1.376720901126408059e+01 8.912688384695948152e-01
1.389236545682102708e+01 8.819821914632327564e-01
1.401752190237797357e+01 8.732804226621018184e-01
1.414267834793492007e+01 8.638355603381751013e-01
1.426783479349186479e+01 8.544433606037615814e-01
1.439299123904881128e+01 8.447384380171777396e-01
1.451814768460575777e+01 8.347046273109889336e-01
1.464330413016270427e+01 8.249429311789744368e-01
1.476846057571965076e+01 8.146416965420475442e-01
1.489361702127659726e+01 8.039128070281872374e-01
1.501877346683354197e+01 7.934041609953635943e-01
1.514392991239048847e+01 7.823972109881340842e-01
1.526908635794743496e+01 7.714089902300054202e-01
1.539424280350438146e+01 7.596119081974649356e-01
1.551939924906132795e+01 7.483010409099662974e-01
1.564455569461827444e+01 7.362682179703500251e-01
1.576971214017521916e+01 7.241821222771323008e-01
1.589486858573216566e+01 7.116306986404562496e-01
1.602002503128911215e+01 6.990285195204434254e-01
1.614518147684605864e+01 6.857534665006594921e-01
1.627033792240300514e+01 6.724734011510131726e-01
1.639549436795995163e+01 6.587023325999294965e-01
1.652065081351689813e+01 6.444503467525074525e-01
1.664580725907384462e+01 6.299567685907356829e-01
1.677096370463078756e+01 6.149222271553848040e-01
1.689612015018773405e+01 5.994754455151178885e-01
1.702127659574468055e+01 5.834081673194666529e-01
1.714643304130162704e+01 5.668357718171322945e-01
1.727158948685857354e+01 5.493629219403574071e-01
1.739674593241552003e+01 5.314135679269497148e-01
1.752190237797246652e+01 5.126025657589867723e-01
1.764705882352941302e+01 4.927007706572268941e-01
1.777221526908635951e+01 4.712825471777053465e-01
1.789737171464330601e+01 4.477622349565778537e-01
1.802252816020025250e+01 4.193580686758725529e-01
1.814768460575719899e+01 3.946051342436843745e-01
1.827284105131414194e+01 3.675583315128272965e-01
1.839799749687108843e+01 3.217060515399006171e-01
1.852315394242803492e+01 2.937524597205783961e-01
1.864831038798498142e+01 2.811119837146501266e-01
1.877346683354192791e+01 2.604118837525611907e-01
1.889862327909887441e+01 2.517184723310396111e-01
1.902377972465582090e+01 2.387929865948773267e-01
1.914893617021276739e+01 2.107353922075405062e-01
1.927409261576971389e+01 1.993338006890755520e-01
1.939924906132666038e+01 1.831115283075428757e-01
1.952440550688360688e+01 1.693511424271484100e-01
1.964956195244055337e+01 1.527152946737079520e-01
1.977471839799749631e+01 1.411917266712229557e-01
1.989987484355444280e+01 1.187879861894221706e-01
2.002503128911138930e+01 1.108499116558933767e-01
2.015018773466833579e+01 1.008091391097813289e-01
2.027534418022528229e+01 9.253671837615826123e-02
2.040050062578222878e+01 7.693241854996457629e-02
2.052565707133917527e+01 6.617630525884105053e-02
2.065081351689612177e+01 6.060148806515964354e-02
2.077596996245306826e+01 5.229050176088548968e-02
2.090112640801001476e+01 4.673975718373137023e-02
2.102628285356696125e+01 3.586895914945101294e-02
2.115143929912390419e+01 3.271778996936348938e-02
2.127659574468085069e+01 2.034672403751619854e-02
2.140175219023779718e+01 6.194124402889552086e-03
2.152690863579474367e+01 -4.678152273083662112e-03
2.165206508135169017e+01 -1.341133999500576310e-02
2.177722152690863666e+01 -3.045832315959544345e-02
2.190237797246558316e+01 -3.981406428004728715e-02
2.202753441802252965e+01 -3.997069896386739457e-02
2.215269086357947614e+01 -4.001242432460628412e-02
2.227784730913642264e+01 -4.808076611517818344e-02
2.240300375469336913e+01 -6.439333909821709501e-02
2.252816020025031563e+01 -5.984584218389261967e-02
2.265331664580725857e+01 -6.239918661352255452e-02
2.277847309136420506e+01 -6.466179674058696036e-02
2.290362953692115155e+01 -7.454345098697237604e-02
2.302878598247809805e+01 -8.715143250877652181e-02
