# r   Lambda(r)
0.000000000000000000e+00 9.436798130495801518e-01
1.251564455569461887e-01 1.166202480706331146e+00
2.503128911138923773e-01 1.337550974362290646e+00
3.754693366708385938e-01 1.455792351309337374e+00
5.006257822277847547e-01 1.528154023564522346e+00
6.257822277847309156e-01 1.560517322177977118e+00
7.509386733416771875e-01 1.576757477810897701e+00
8.760951188986233484e-01 1.562337310245507371e+00
1.001251564455569509e+00 1.531043179639565155e+00
1.126408010012515781e+00 1.476973163878562589e+00
1.251564455569461831e+00 1.425193532627078374e+00
1.376720901126408103e+00 1.361406158211137418e+00
1.501877346683354375e+00 1.272186918883847051e+00
1.627033792240300425e+00 1.180001311484952353e+00
1.752190237797246697e+00 1.090578849426043551e+00
1.877346683354192747e+00 9.807812365375494501e-01
2.002503128911139019e+00 8.758336990464090643e-01
2.127659574468085069e+00 7.604911596735743906e-01
2.252816020025031563e+00 6.234171162027339896e-01
2.377972465581977612e+00 5.078325084920888299e-01
2.503128911138923662e+00 3.700574931807212309e-01
2.628285356695870156e+00 2.618985416230951713e-01
2.753441802252816206e+00 1.410353003897694413e-01
2.878598247809762256e+00 6.155229294106866374e-03
3.003754693366708750e+00 -1.378161562548399499e-01
3.128911138923654800e+00 -2.683965170114255283e-01
3.254067584480600850e+00 -4.106217874965761294e-01
3.379224030037546900e+00 -5.595793917848049803e-01
3.504380475594493394e+00 -6.726920431151874880e-01
3.629536921151439444e+00 -8.192429995622313443e-01
3.754693366708385494e+00 -9.363668975325977195e-01
3.879849812265331988e+00 -1.079799070350449197e+00
4.005006257822278037e+00 -1.188767793592751865e+00
4.130162703379224531e+00 -1.311325178300664529e+00
4.255319148936170137e+00 -1.428449673971285305e+00
4.380475594493116631e+00 -1.559351308793978097e+00
4.505632040050063125e+00 -1.681610746723943395e+00
4.630788485607008731e+00 -1.749078090006672248e+00
4.755944931163955225e+00 -1.795488761338538630e+00
4.881101376720901719e+00 -1.856456139184697873e+00
5.006257822277847325e+00 -1.898328959672238359e+00
5.131414267834793819e+00 -1.921258529617359878e+00
5.256570713391740313e+00 -1.800253475776369294e+00
5.381727158948685918e+00 -1.700522833429329861e+00
5.506883604505632412e+00 -1.693030355161876388e+00
5.632040050062578906e+00 -1.722409705253652223e+00
5.757196495619524512e+00 -1.722788223588185508e+00
5.882352941176471006e+00 -1.733061044223636493e+00
6.007509386733417500e+00 -1.757842412513611396e+00
6.132665832290363106e+00 -1.803371017357060069e+00
6.257822277847309600e+00 -1.851742743714131612e+00
6.382978723404255206e+00 -1.875475740174348926e+00
6.508135168961201700e+00 -1.931662705186266260e+00
6.633291614518148194e+00 -1.979422585898914955e+00
6.758448060075093800e+00 -2.072958392175292541e+00
6.883604505632040294e+00 -2.132520570801052173e+00
7.008760951188986787e+00 -2.198994905987395221e+00
7.133917396745932393e+00 -2.285668012261036885e+00
7.259073842302878887e+00 -2.341987602971975058e+00
7.384230287859825381e+00 -2.419784269230194518e+00
7.509386733416770987e+00 -2.492787026566438247e+00
7.634543178973717481e+00 -2.564614471208378710e+00
7.759699624530663975e+00 -2.659059132243743129e+00
7.884856070087609581e+00 -2.727324214966539540e+00
8.010012515644556075e+00 -2.780149679203912871e+00
8.135168961201502569e+00 -2.850625838509922350e+00
8.260325406758449063e+00 -2.943516798151415870e+00
8.385481852315393780e+00 -2.970232026553891291e+00
8.510638297872340274e+00 -3.010959847651109911e+00
8.635794743429286768e+00 -3.039123936500543355e+00
8.760951188986233262e+00 -3.046789153413394402e+00
8.886107634543179756e+00 -3.025879231025931926e+00
9.011264080100126250e+00 -3.048808807737261706e+00
9.136420525657070968e+00 -3.097215461463277641e+00
9.261576971214017462e+00 -3.207164901061042350e+00
9.386733416770963956e+00 -3.294473812006996738e+00
9.511889862327910450e+00 -3.339396333973931874e+00
9.637046307884856944e+00 -3.408871901501977053e+00
9.762202753441803438e+00 -3.482401571994178990e+00
9.887359198998748155e+00 -3.545861659698887003e+00
1.001251564455569465e+01 -3.462117389935387202e+00
1.013767209011264114e+01 -3.333950217711006747e+00
1.026282853566958764e+01 -3.316599277234786758e+00
1.038798498122653413e+01 -3.308960743830787088e+00
1.051314142678348063e+01 -3.346556612175275447e+00
1.063829787234042534e+01 -3.422949428497020552e+00
1.076345431789737184e+01 -3.455847916276128196e+00
1.088861076345431833e+01 -3.531311903922026652e+00
1.101376720901126482e+01 -3.619223657735588962e+00
1.113892365456821132e+01 -3.636175684486234516e+00
1.126408010012515781e+01 -3.723092918767731518e+00
1.138923654568210253e+01 -3.744949345530530938e+00
1.151439299123904902e+01 -3.763071432674033545e+00
1.163954943679599552e+01 -3.781592233031452643e+00
1.176470588235294201e+01 -3.820861461789282210e+00
1.188986232790988851e+01 -3.857823527452365564e+00
1.201501877346683500e+01 -3.895263298164942434e+00
1.214017521902377972e+01 -3.922928374323802814e+00
1.226533166458072621e+01 -3.956234548454154343e+00
1.239048811013767271e+01 -3.967284528230895280e+00
1.251564455569461920e+01 -3.992422666472343895e+00
1.264080100125156569e+01 -3.993992791004011611e+00
1.276595744680851041e+01 -4.021538641374782230e+00
1.289111389236545691e+01 -4.049815288385437917e+00
1.301627033792240340e+01 -4.061913073666796770e+00
1.314142678347934989e+01 -4.018333197092161413e+00
1.326658322903629639e+01 -3.972454088140762618e+00
1.339173967459324288e+01 -3.950279772132011757e+00
1.351689612015018760e+01 -3.990309525919293776e+00
