# r   Lambda(r)
0.000000000000000000e+00 9.441122202259848439e-01
1.251564455569461887e-01 1.178469887424335116e+00
2.503128911138923773e-01 1.336455647400427660e+00
3.754693366708385938e-01 1.437115229369915648e+00
5.006257822277847547e-01 1.489393420651632827e+00
6.257822277847309156e-01 1.503004185497674561e+00
7.509386733416771875e-01 1.493557749373830346e+00
8.760951188986233484e-01 1.456500009066255874e+00
1.001251564455569509e+00 1.405288615824966447e+00
1.126408010012515781e+00 1.322545543012332736e+00
1.251564455569461831e+00 1.255358214920468951e+00
1.376720901126408103e+00 1.154769613416398943e+00
1.501877346683354375e+00 1.049128358906277425e+00
1.627033792240300425e+00 9.373673722926968432e-01
1.752190237797246697e+00 8.185734552506339634e-01
1.877346683354192747e+00 6.826802637963443887e-01
2.002503128911139019e+00 5.590700083665988140e-01
2.127659574468085069e+00 4.094790564992352722e-01
2.252816020025031563e+00 2.703887310183117343e-01
2.377972465581977612e+00 1.045746845666154917e-01
2.503128911138923662e+00 -2.905149841821347279e-02
2.628285356695870156e+00 -1.818932204390926732e-01
2.753441802252816206e+00 -3.355824283899551674e-01
2.878598247809762256e+00 -5.171817004490523173e-01
3.003754693366708750e+00 -6.727808712837920480e-01
3.128911138923654800e+00 -8.500309647774189070e-01
3.254067584480600850e+00 -1.025081431524306197e+00
3.379224030037546900e+00 -1.207721934378255035e+00
3.504380475594493394e+00 -1.382957303355824896e+00
3.629536921151439444e+00 -1.572824001809813410e+00
3.754693366708385494e+00 -1.752273273177969326e+00
3.879849812265331988e+00 -1.948304927420063892e+00
4.005006257822278037e+00 -2.094311857362487039e+00
4.130162703379224531e+00 -2.013418379048477203e+00
4.255319148936170137e+00 -2.021155545789191876e+00
4.380475594493116631e+00 -1.851410209473279389e+00
4.505632040050063125e+00 -1.655060290582266447e+00
4.630788485607008731e+00 -1.570316098799605431e+00
4.755944931163955225e+00 -1.535294810426418799e+00
4.881101376720901719e+00 -1.547880990689560976e+00
5.006257822277847325e+00 -1.563193644134286187e+00
5.131414267834793819e+00 -1.611930838575764247e+00
5.256570713391740313e+00 -1.666253500645233698e+00
5.381727158948685918e+00 -1.727128904166760570e+00
5.506883604505632412e+00 -1.815439812262142016e+00
5.632040050062578906e+00 -1.902514888820214800e+00
5.757196495619524512e+00 -1.983629997206851181e+00
5.882352941176471006e+00 -2.097595137244385732e+00
6.007509386733417500e+00 -2.203292516548930546e+00
6.132665832290363106e+00 -2.276512754915717363e+00
6.257822277847309600e+00 -2.404579749793045895e+00
6.382978723404255206e+00 -2.503290029005714512e+00
6.508135168961201700e+00 -2.598616858422059916e+00
6.633291614518148194e+00 -2.657967689283449619e+00
6.758448060075093800e+00 -2.779119680656895408e+00
6.883604505632040294e+00 -2.882008913052389154e+00
7.008760951188986787e+00 -2.985249777592192899e+00
7.133917396745932393e+00 -2.981041425524732169e+00
7.259073842302878887e+00 -3.048625995868205152e+00
7.384230287859825381e+00 -3.121263840799445521e+00
7.509386733416770987e+00 -3.182132561158104611e+00
7.634543178973717481e+00 -3.254995989558985503e+00
7.759699624530663975e+00 -3.294029653816911374e+00
7.884856070087609581e+00 -3.334743729467731121e+00
8.010012515644556075e+00 -3.377449682593066438e+00
8.135168961201502569e+00 -3.411243998502066166e+00
8.260325406758449063e+00 -3.534141337299929297e+00
8.385481852315393780e+00 -3.622988245401201013e+00
8.510638297872340274e+00 -3.657018673284966770e+00
8.635794743429286768e+00 -3.399377883467364470e+00
8.760951188986233262e+00 -3.250953109124549378e+00
8.886107634543179756e+00 -3.193456953339015580e+00
9.011264080100126250e+00 -3.190909108189359689e+00
9.136420525657070968e+00 -3.198351123048915667e+00
9.261576971214017462e+00 -3.241375108821408890e+00
9.386733416770963956e+00 -3.290311112738477206e+00
9.511889862327910450e+00 -3.371010078737135540e+00
9.637046307884856944e+00 -3.452169513387831845e+00
9.762202753441803438e+00 -3.545293311135645276e+00
9.887359198998748155e+00 -3.610536702006668985e+00
1.001251564455569465e+01 -3.725509707489949474e+00
1.013767209011264114e+01 -3.786730336243792738e+00
1.026282853566958764e+01 -3.785803447185184023e+00
1.038798498122653413e+01 -3.828610967683544697e+00
1.051314142678348063e+01 -3.812820659960772574e+00
1.063829787234042534e+01 -3.784683638262655858e+00
1.076345431789737184e+01 -3.856465914185182697e+00
1.088861076345431833e+01 -3.896428035135099055e+00
1.101376720901126482e+01 -3.877117291882941075e+00
1.113892365456821132e+01 -3.865393429642414169e+00
1.126408010012515781e+01 -3.889937597763491350e+00
1.138923654568210253e+01 -3.961076535414667088e+00
1.151439299123904902e+01 -3.972925187168894645e+00
1.163954943679599552e+01 -3.958335595824229891e+00
1.176470588235294201e+01 -3.953193557038388040e+00
1.188986232790988851e+01 -3.971000970629558591e+00
1.201501877346683500e+01 -4.042344370400641651e+00
1.214017521902377972e+01 -4.010444145729101351e+00
1.226533166458072621e+01 -4.042785759194726047e+00
1.239048811013767271e+01 -4.051545246817623180e+00
1.251564455569461920e+01 -4.053950588426614488e+00
1.264080100125156569e+01 -4.056625688296630727e+00
1.276595744680851041e+01 -4.044619519955870324e+00
1.289111389236545691e+01 -4.074385528193621653e+00
1.301627033792240340e+01 -4.083547299724830104e+00
1.314142678347934989e+01 -4.106124127130821755e+00
1.326658322903629639e+01 -4.152299001146985802e+00
1.339173967459324288e+01 -4.075440591706247950e+00
1.351689612015018760e+01 -4.022190434735023246e+00
1.364205256570713409e+01 -4.015578688463558699e+00
1.376720901126408059e+01 -4.040991730573725071e+00
1.389236545682102708e+01 -4.100081278616896974e+00
1.401752190237797357e+01 -4.154261759801530118e+00
1.414267834793492007e+01 -4.179121897562789734e+00
1.426783479349186479e+01 -4.168682035423065813e+00
1.439299123904881128e+01 -4.171550544336239064e+00
1.451814768460575777e+01 -4.182150536598344459e+00
1.464330413016270427e+01 -4.169996856183035838e+00
1.476846057571965076e+01 -4.161609633785968931e+00
1.489361702127659726e+01 -4.169303902315911969e+00
1.501877346683354197e+01 -4.166973201002854843e+00
1.514392991239048847e+01 -4.163501099178573028e+00
1.526908635794743496e+01 -4.177954702911025997e+00
1.539424280350438146e+01 -4.185043166227051081e+00
