# r   Lambda(r)
0.000000000000000000e+00 9.441093633358047521e-01
1.251564455569461887e-01 -1.787426472500023733e+00
2.503128911138923773e-01 -3.326826741819870925e+00
3.754693366708385938e-01 -3.416391480809806147e+00
5.006257822277847547e-01 -3.661083217927734612e+00
6.257822277847309156e-01 -3.684847942200184079e+00
7.509386733416771875e-01 -3.607037694066520306e+00
8.760951188986233484e-01 -3.533665406248100105e+00
1.001251564455569509e+00 -3.426803365402286694e+00
1.126408010012515781e+00 -3.314786455490639216e+00
1.251564455569461831e+00 -3.243680588857502212e+00
1.376720901126408103e+00 -3.177692187083636544e+00
1.501877346683354375e+00 -3.128282235255749111e+00
1.627033792240300425e+00 -3.084794321758756119e+00
1.752190237797246697e+00 -3.052239390699401866e+00
1.877346683354192747e+00 -3.023737815814113716e+00
2.002503128911139019e+00 -2.995533973885634804e+00
2.127659574468085069e+00 -2.973192441584659118e+00
2.252816020025031563e+00 -2.953415157702071969e+00
2.377972465581977612e+00 -2.938895210766046873e+00
2.503128911138923662e+00 -2.913912836681524787e+00
2.628285356695870156e+00 -2.876325870930539264e+00
2.753441802252816206e+00 -2.765380917937237726e+00
2.878598247809762256e+00 -2.648475106585886252e+00
3.003754693366708750e+00 -2.534513016581289246e+00
3.128911138923654800e+00 -2.423055155257336502e+00
3.254067584480600850e+00 -2.307774329877861241e+00
3.379224030037546900e+00 -2.194725006428856151e+00
3.504380475594493394e+00 -2.079245286095783296e+00
3.629536921151439444e+00 -1.960914364087332773e+00
3.754693366708385494e+00 -1.849314009830420824e+00
3.879849812265331988e+00 -1.732848336788642252e+00
4.005006257822278037e+00 -1.616687919628473580e+00
4.130162703379224531e+00 -1.500513885703618433e+00
4.255319148936170137e+00 -1.383251100122123933e+00
4.380475594493116631e+00 -1.269421011902681196e+00
4.505632040050063125e+00 -1.152734016610044154e+00
4.630788485607008731e+00 -1.036806209223108732e+00
4.755944931163955225e+00 -9.181368982295886605e-01
4.881101376720901719e+00 -8.026337776330224605e-01
5.006257822277847325e+00 -6.866661948401975302e-01
5.131414267834793819e+00 -5.696724367552197243e-01
5.256570713391740313e+00 -4.522327964139037926e-01
5.381727158948685918e+00 -3.357923043740123625e-01
5.506883604505632412e+00 -2.190893709983117443e-01
5.632040050062578906e+00 -1.019522659595212266e-01
5.757196495619524512e+00 1.547306533659633700e-02
5.882352941176471006e+00 1.308833258045665471e-01
6.007509386733417500e+00 2.485733312481753221e-01
6.132665832290363106e+00 3.636011064785084068e-01
6.257822277847309600e+00 4.825974876957556114e-01
6.382978723404255206e+00 5.983393544425398280e-01
6.508135168961201700e+00 7.153437850805750564e-01
6.633291614518148194e+00 8.327397589431483338e-01
6.758448060075093800e+00 9.490307873222657564e-01
6.883604505632040294e+00 1.066544974002905821e+00
7.008760951188986787e+00 1.181598917388770875e+00
7.133917396745932393e+00 1.298798641392760800e+00
7.259073842302878887e+00 1.417834588545215491e+00
7.384230287859825381e+00 1.533184661596452614e+00
7.509386733416770987e+00 1.650044307564208612e+00
7.634543178973717481e+00 1.768226131245150379e+00
7.759699624530663975e+00 1.885581936042478590e+00
7.884856070087609581e+00 2.000943165144614788e+00
8.010012515644556075e+00 2.118870335288485229e+00
8.135168961201502569e+00 2.235076330465791905e+00
8.260325406758449063e+00 2.351812230473876220e+00
8.385481852315393780e+00 2.467946221719875322e+00
8.510638297872340274e+00 2.585205208346548655e+00
8.635794743429286768e+00 2.698657392019867540e+00
8.760951188986233262e+00 2.818968008838901085e+00
8.886107634543179756e+00 2.935579693535799617e+00
9.011264080100126250e+00 3.052262363364659947e+00
9.136420525657070968e+00 3.168070459757151625e+00
9.261576971214017462e+00 3.285730662705893312e+00
9.386733416770963956e+00 3.401556600805806241e+00
9.511889862327910450e+00 3.518143849453674310e+00
9.637046307884856944e+00 3.634349091767202999e+00
9.762202753441803438e+00 3.750837521136436425e+00
9.887359198998748155e+00 3.866598495966723892e+00
1.001251564455569465e+01 3.984132420530860585e+00
1.013767209011264114e+01 4.098876707546429188e+00
1.026282853566958764e+01 4.216105603744710884e+00
1.038798498122653413e+01 4.332435810247738495e+00
1.051314142678348063e+01 4.449303515588895586e+00
1.063829787234042534e+01 4.564505220896983850e+00
1.076345431789737184e+01 4.679730551121556559e+00
1.088861076345431833e+01 4.797538077908303222e+00
1.101376720901126482e+01 4.913962844448335865e+00
1.113892365456821132e+01 5.029628277823915639e+00
1.126408010012515781e+01 5.144506382418727597e+00
1.138923654568210253e+01 5.262096097684183071e+00
1.151439299123904902e+01 5.377496410727493625e+00
1.163954943679599552e+01 5.493902112508009417e+00
1.176470588235294201e+01 5.609597907439930253e+00
1.188986232790988851e+01 5.725849873418031422e+00
1.201501877346683500e+01 5.838973688544649931e+00
1.214017521902377972e+01 5.956641832420985772e+00
1.226533166458072621e+01 6.072570676566844128e+00
1.239048811013767271e+01 6.187956087772737312e+00
1.251564455569461920e+01 6.303824325201657253e+00
1.264080100125156569e+01 6.418001962304674457e+00
1.276595744680851041e+01 6.535788767080954464e+00
1.289111389236545691e+01 6.651186567723565091e+00
1.301627033792240340e+01 6.766463390072195772e+00
1.314142678347934989e+01 6.881997160620743514e+00
1.326658322903629639e+01 6.997087721367714508e+00
1.339173967459324288e+01 7.111393564341090823e+00
1.351689612015018760e+01 7.228948770758606202e+00
1.364205256570713409e+01 7.344625786141404156e+00
1.376720901126408059e+01 7.460323879486358223e+00
1.389236545682102708e+01 7.574910159315670910e+00
1.401752190237797357e+01 7.689766352947532191e+00
1.414267834793492007e+01 7.803921426901514025e+00
1.426783479349186479e+01 7.920886919465301546e+00
1.439299123904881128e+01 8.036355907052865177e+00
